team,opponent,player,ip,ha,er,bb,hb,so,bf,hr_a,game_id,game_date,season
Northwestern,Minnesota,Riley Grudzielanek,7.0,3.0,2.0,3.0,2.0,4.0,29.0,0.0,6315051.0,03/28/2025,2025.0
Minnesota,Northwestern,Macy Richardson,0.1,1.0,2.0,2.0,0.0,0.0,4.0,0.0,6315051.0,03/28/2025,2025.0
Minnesota,Northwestern,Natalie Susa,4.2,2.0,1.0,0.0,0.0,6.0,15.0,1.0,6315051.0,03/28/2025,2025.0
Minnesota,Northwestern,Sydney Schwartz,2.0,2.0,0.0,0.0,0.0,2.0,8.0,0.0,6315051.0,03/28/2025,2025.0
Michigan St.,Michigan,Faith Guidry,0.1,3.0,2.0,0.0,0.0,0.0,4.0,0.0,6315189.0,03/28/2025,2025.0
Michigan St.,Michigan,Madison Taylor,4.2,4.0,1.0,2.0,0.0,2.0,19.0,0.0,6315189.0,03/28/2025,2025.0
Michigan St.,Michigan,Carsyn Cassady,2.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,6315189.0,03/28/2025,2025.0
Michigan,Michigan St.,Lauren Derkowski,7.0,6.0,3.0,1.0,0.0,8.0,29.0,2.0,6315189.0,03/28/2025,2025.0
La. Christian,Southern U.,Addison Grea,1.1,2.0,4.0,0.0,1.0,1.0,8.0,1.0,6315273.0,03/25/2025,2025.0
La. Christian,Southern U.,Morgan Louvi,3.2,6.0,4.0,2.0,1.0,1.0,21.0,0.0,6315273.0,03/25/2025,2025.0
Southern U.,La. Christian,Miranda Roldan,6.0,3.0,0.0,0.0,1.0,6.0,21.0,0.0,6315273.0,03/25/2025,2025.0
La. Christian,Southern U.,Brooke Ross,5.0,3.0,2.0,0.0,0.0,2.0,18.0,0.0,6315275.0,03/25/2025,2025.0
La. Christian,Southern U.,Carly Carpen,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,6315275.0,03/25/2025,2025.0
Southern U.,La. Christian,Chakirrous Parker,4.1,5.0,0.0,2.0,0.0,0.0,18.0,0.0,6315275.0,03/25/2025,2025.0
Southern U.,La. Christian,Kairah Williams,1.2,2.0,0.0,0.0,1.0,2.0,6.0,0.0,6315275.0,03/25/2025,2025.0
Southern U.,La. Christian,Aaliyah Zabala,1.0,1.0,0.0,0.0,0.0,1.0,4.0,0.0,6315275.0,03/25/2025,2025.0
Mississippi Val.,Florida A&M,Karis Robinson,2.0,10.0,11.0,3.0,1.0,1.0,20.0,0.0,6315312.0,03/28/2025,2025.0
Mississippi Val.,Florida A&M,Ashtyn Clark,2.0,0.0,1.0,2.0,1.0,0.0,9.0,0.0,6315312.0,03/28/2025,2025.0
Florida A&M,Mississippi Val.,Samantha Smith,5.0,4.0,2.0,2.0,0.0,5.0,21.0,0.0,6315312.0,03/28/2025,2025.0
Towson,N.C. A&T,Amanda Medina,5.0,3.0,2.0,3.0,0.0,3.0,22.0,0.0,6315465.0,03/28/2025,2025.0
N.C. A&T,Towson,Aaliyah Williams,1.2,4.0,2.0,3.0,0.0,4.0,16.0,0.0,6315465.0,03/28/2025,2025.0
N.C. A&T,Towson,Lauren Hardy,3.1,2.0,0.0,0.0,0.0,2.0,14.0,0.0,6315465.0,03/28/2025,2025.0
Furman,ETSU,Angelina Ricciardi,5.0,3.0,2.0,2.0,0.0,1.0,20.0,1.0,6315545.0,03/28/2025,2025.0
Furman,ETSU,Emme Buzhardt,2.0,2.0,1.0,0.0,0.0,0.0,8.0,0.0,6315545.0,03/28/2025,2025.0
ETSU,Furman,Sara Muir,4.0,7.0,3.0,0.0,0.0,0.0,18.0,0.0,6315545.0,03/28/2025,2025.0
ETSU,Furman,Gabby Fowler,3.0,2.0,1.0,2.0,1.0,0.0,13.0,0.0,6315545.0,03/28/2025,2025.0
Grand Canyon,California Baptist,Taryn Batterton,7.0,1.0,0.0,1.0,0.0,7.0,23.0,0.0,6315616.0,03/28/2025,2025.0
California Baptist,Grand Canyon,Morgan McConnell,3.1,6.0,4.0,4.0,0.0,1.0,18.0,0.0,6315616.0,03/28/2025,2025.0
California Baptist,Grand Canyon,Liliana Arana,3.2,2.0,0.0,2.0,1.0,2.0,15.0,0.0,6315616.0,03/28/2025,2025.0
Grand Canyon,California Baptist,Meghan Golden,5.0,4.0,0.0,1.0,3.0,3.0,23.0,0.0,6315618.0,03/28/2025,2025.0
California Baptist,Grand Canyon,Annika Hollingsworth,2.0,5.0,8.0,4.0,0.0,0.0,15.0,1.0,6315618.0,03/28/2025,2025.0
California Baptist,Grand Canyon,Liliana Arana,2.0,2.0,2.0,4.0,0.0,1.0,12.0,0.0,6315618.0,03/28/2025,2025.0
California Baptist,Grand Canyon,Morgan McConnell,1.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,6315618.0,03/28/2025,2025.0
Hofstra,Campbell,Emma Falen,6.1,3.0,0.0,5.0,0.0,8.0,27.0,0.0,6315817.0,03/28/2025,2025.0
Hofstra,Campbell,Carley Ernst,0.2,0.0,0.0,0.0,0.0,1.0,2.0,0.0,6315817.0,03/28/2025,2025.0
Campbell,Hofstra,Megan Gregory,7.0,6.0,4.0,4.0,0.0,7.0,31.0,2.0,6315817.0,03/28/2025,2025.0
Jacksonville St.,Samford,Kat Carter,5.0,3.0,0.0,1.0,0.0,4.0,19.0,0.0,6316165.0,03/26/2025,2025.0
Samford,Jacksonville St.,Jordyn Partain,3.0,4.0,3.0,0.0,1.0,0.0,13.0,1.0,6316165.0,03/26/2025,2025.0
Samford,Jacksonville St.,Olivia Treece,1.2,4.0,5.0,2.0,0.0,1.0,11.0,0.0,6316165.0,03/26/2025,2025.0
Samford,Jacksonville St.,Olivia Trout,0.1,1.0,1.0,0.0,0.0,0.0,2.0,1.0,6316165.0,03/26/2025,2025.0
FIU,Jacksonville St.,Kennedy Byrd,2.2,9.0,7.0,2.0,0.0,1.0,18.0,1.0,6316166.0,03/28/2025,2025.0
FIU,Jacksonville St.,Megan Kruger,3.1,0.0,0.0,3.0,0.0,3.0,12.0,0.0,6316166.0,03/28/2025,2025.0
Jacksonville St.,FIU,Kat Carter,7.0,8.0,2.0,1.0,1.0,4.0,33.0,0.0,6316166.0,03/28/2025,2025.0
Boise St.,UNLV,Abby Dowell,3.2,2.0,4.0,4.0,0.0,3.0,16.0,0.0,6316252.0,03/27/2025,2025.0
Boise St.,UNLV,Julianne Rose,3.1,4.0,4.0,3.0,1.0,2.0,19.0,2.0,6316252.0,03/27/2025,2025.0
UNLV,Boise St.,Yanina Sherwood,4.1,12.0,9.0,3.0,0.0,5.0,29.0,5.0,6316252.0,03/27/2025,2025.0
UNLV,Boise St.,Ameila Weber,2.2,5.0,5.0,2.0,0.0,2.0,15.0,0.0,6316252.0,03/27/2025,2025.0
Boise St.,UNLV,Abby Dowell,2.0,2.0,2.0,3.0,0.0,0.0,10.0,2.0,6316253.0,03/28/2025,2025.0
Boise St.,UNLV,Julianne Rose,3.0,1.0,0.0,1.0,0.0,0.0,11.0,0.0,6316253.0,03/28/2025,2025.0
UNLV,Boise St.,Ameila Weber,1.0,3.0,3.0,2.0,1.0,0.0,9.0,1.0,6316253.0,03/28/2025,2025.0
UNLV,Boise St.,Jazmine Chavez,3.0,7.0,6.0,2.0,0.0,3.0,17.0,3.0,6316253.0,03/28/2025,2025.0
UNLV,Boise St.,Mantha Hatzenbeller,1.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,6316253.0,03/28/2025,2025.0
Southern Miss.,South Alabama,Jana Lee,7.0,5.0,2.0,0.0,1.0,7.0,27.0,1.0,6316493.0,03/28/2025,2025.0
South Alabama,Southern Miss.,Ryley Harrison,6.2,11.0,2.0,4.0,1.0,5.0,36.0,0.0,6316493.0,03/28/2025,2025.0
South Alabama,Southern Miss.,Olivia Cato,0.1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6316493.0,03/28/2025,2025.0
Iowa,Wisconsin,Jalen Adams,6.1,7.0,5.0,0.0,1.0,4.0,27.0,2.0,6316676.0,03/28/2025,2025.0
Wisconsin,Iowa,Gabi Salo,4.0,7.0,5.0,1.0,0.0,5.0,20.0,2.0,6316676.0,03/28/2025,2025.0
Wisconsin,Iowa,Molly Jacobson,2.2,2.0,2.0,3.0,0.0,2.0,13.0,1.0,6316676.0,03/28/2025,2025.0
Wisconsin,Iowa,Jordan Felci,0.1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,6316676.0,03/28/2025,2025.0
Iowa,Wisconsin,Talia Tretton,3.2,6.0,4.0,2.0,1.0,2.0,21.0,1.0,6316677.0,03/28/2025,2025.0
Iowa,Wisconsin,Jalen Adams,2.1,1.0,0.0,1.0,0.0,0.0,9.0,0.0,6316677.0,03/28/2025,2025.0
Wisconsin,Iowa,Kendra Lewis,2.1,5.0,2.0,0.0,0.0,1.0,12.0,0.0,6316677.0,03/28/2025,2025.0
Wisconsin,Iowa,Jordan Felci,4.2,0.0,0.0,1.0,0.0,4.0,13.0,0.0,6316677.0,03/28/2025,2025.0
Southeast Mo. St.,Eastern Ill.,Delaney Kell,7.0,4.0,0.0,3.0,0.0,5.0,27.0,0.0,6317000.0,03/28/2025,2025.0
Eastern Ill.,Southeast Mo. St.,McKenzie Oslanzi,7.0,3.0,0.0,2.0,0.0,6.0,27.0,0.0,6317000.0,03/28/2025,2025.0
Southeast Mo. St.,Eastern Ill.,Willow Van Haren,4.1,3.0,0.0,3.0,3.0,1.0,24.0,0.0,6317003.0,03/28/2025,2025.0
Southeast Mo. St.,Eastern Ill.,Elliot Stinson,1.2,3.0,1.0,1.0,0.0,0.0,9.0,1.0,6317003.0,03/28/2025,2025.0
Eastern Ill.,Southeast Mo. St.,Karlie McKenzie,6.0,9.0,4.0,4.0,0.0,0.0,31.0,0.0,6317003.0,03/28/2025,2025.0
Eastern Ill.,Southeast Mo. St.,Bryanna French,1.0,1.0,0.0,1.0,0.0,1.0,5.0,0.0,6317003.0,03/28/2025,2025.0
Robert Morris,IU Indy,Madison DeVault,4.2,7.0,2.0,4.0,2.0,4.0,26.0,0.0,6317109.0,03/28/2025,2025.0
Robert Morris,IU Indy,Kaitlyn Molitoris,5.0,4.0,3.0,1.0,3.0,5.0,25.0,0.0,6317109.0,03/28/2025,2025.0
IU Indy,Robert Morris,Lily Roush,10.0,9.0,5.0,5.0,2.0,6.0,49.0,1.0,6317109.0,03/28/2025,2025.0
St. Bonaventure,Mercyhurst,Mackenzie Frani,6.0,7.0,3.0,1.0,0.0,5.0,26.0,0.0,6317206.0,03/27/2025,2025.0
Mercyhurst,St. Bonaventure,Bailey Cannon,7.0,6.0,2.0,3.0,0.0,6.0,29.0,0.0,6317206.0,03/27/2025,2025.0
St. Bonaventure,Mercyhurst,Jordan Lucas,3.1,3.0,3.0,2.0,2.0,1.0,17.0,1.0,6317209.0,03/27/2025,2025.0
St. Bonaventure,Mercyhurst,Nolah Moyer,0.1,2.0,2.0,2.0,0.0,0.0,5.0,0.0,6317209.0,03/27/2025,2025.0
St. Bonaventure,Mercyhurst,Ava Lomelin,1.1,1.0,1.0,0.0,1.0,0.0,7.0,0.0,6317209.0,03/27/2025,2025.0
St. Bonaventure,Mercyhurst,Kendall Stull,1.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,6317209.0,03/27/2025,2025.0
Mercyhurst,St. Bonaventure,Alexa North,7.0,10.0,5.0,5.0,1.0,0.0,35.0,0.0,6317209.0,03/27/2025,2025.0
Valparaiso,DePaul,Erin Metz,2.1,1.0,1.0,3.0,0.0,1.0,11.0,0.0,6317468.0,03/26/2025,2025.0
Valparaiso,DePaul,Sydney McDermott,1.2,2.0,1.0,1.0,0.0,2.0,8.0,0.0,6317468.0,03/26/2025,2025.0
Valparaiso,DePaul,Azalya Lopez,3.2,5.0,0.0,2.0,0.0,2.0,18.0,0.0,6317468.0,03/26/2025,2025.0
DePaul,Valparaiso,Bella Nigey,6.0,3.0,2.0,1.0,0.0,1.0,22.0,1.0,6317468.0,03/26/2025,2025.0
DePaul,Valparaiso,Hannah Messer,2.0,2.0,1.0,2.0,1.0,1.0,11.0,0.0,6317468.0,03/26/2025,2025.0
