game_id,team,opponent,player,ip,ha,er,bb,hb,so,bf,hr_a,go,fo,season
4509749,Virginia,Duke,"Layne, Courtney",4.0,4.0,1.0,1.0,1.0,0.0,18.0,0.0,3.0,8.0,2024.0
4509749,Duke,Virginia,"Walker, Lillie",4.0,3.0,1.0,0.0,0.0,0.0,14.0,1.0,4.0,7.0,2024.0
4509750,Grand Canyon,Southern Utah,"Darwin, Emily",2.0,4.0,3.0,1.0,0.0,4.0,11.0,0.0,2.0,0.0,2024.0
4509750,Southern Utah,Grand Canyon,"Delgado, Emily",2.1,3.0,0.0,1.0,0.0,0.0,10.0,0.0,2.0,4.0,2024.0
4509750,Southern Utah,Grand Canyon,"Baker, Delaney",2.2,7.0,4.0,1.0,0.0,0.0,16.0,1.0,6.0,2.0,2024.0
4509750,Southern Utah,Grand Canyon,"Winston, Keimon",2.0,4.0,3.0,1.0,0.0,0.0,11.0,1.0,1.0,5.0,2024.0
4509750,Grand Canyon,Southern Utah,"Golden, Meghan",0.1,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,2024.0
4509750,Grand Canyon,Southern Utah,"Thompson, Ariel",4.2,10.0,5.0,2.0,0.0,3.0,25.0,1.0,5.0,5.0,2024.0
4509752,BYU,Iowa St.,"Agbayani, Ailana",1.1,6.0,4.0,0.0,0.0,0.0,11.0,1.0,0.0,4.0,2024.0
4509752,Iowa St.,BYU,"Schurman, Lauren",6.0,7.0,5.0,6.0,1.0,1.0,36.0,1.0,9.0,8.0,2024.0
4509752,BYU,Iowa St.,"Temples, Chloe",1.1,1.0,0.0,1.0,0.0,3.0,7.0,0.0,1.0,1.0,2024.0
4509752,BYU,Iowa St.,"Dahle, Kate",4.1,2.0,0.0,2.0,0.0,4.0,17.0,0.0,4.0,5.0,2024.0
4509753,UNI,UIC,"Wischnowski, Anna",7.0,6.0,4.0,1.0,0.0,3.0,31.0,0.0,10.0,8.0,2024.0
4509753,UIC,UNI,"Clark, Carlee Jo",2.2,0.0,0.0,0.0,0.0,1.0,8.0,0.0,1.0,6.0,2024.0
4509753,UIC,UNI,"McIntosh, Alyssa",1.1,2.0,2.0,3.0,0.0,0.0,8.0,2.0,1.0,2.0,2024.0
4509753,UIC,UNI,"Toniolo, Christina",2.0,4.0,1.0,4.0,0.0,1.0,17.0,0.0,3.0,2.0,2024.0
4509755,Alabama,Arkansas,"Briski, Jocelyn",7.0,6.0,1.0,1.0,0.0,3.0,29.0,0.0,11.0,7.0,2024.0
4509755,Arkansas,Alabama,"Beuerlein, Reis",2.1,2.0,0.0,1.0,1.0,1.0,11.0,0.0,1.0,5.0,2024.0
4509755,Arkansas,Alabama,"Herron, Robyn",4.2,4.0,1.0,0.0,0.0,7.0,19.0,0.0,1.0,6.0,2024.0
4509756,North Florida,Jacksonville,"Benning, Allison",7.0,1.0,0.0,6.0,0.0,6.0,27.0,0.0,10.0,4.0,2024.0
4509756,Jacksonville,North Florida,"Waggoner, Skylar",7.0,11.0,4.0,1.0,0.0,2.0,32.0,1.0,10.0,7.0,2024.0
4509757,South Alabama,Georgia St.,"Tori, Miller",7.0,4.0,2.0,0.0,0.0,2.0,27.0,0.0,5.0,14.0,2024.0
4509757,Georgia St.,South Alabama,"Kastelic, Kate",5.0,4.0,0.0,0.0,0.0,2.0,19.0,0.0,6.0,7.0,2024.0
4509757,Georgia St.,South Alabama,"Hodnett, Emily",2.0,2.0,2.0,5.0,1.0,0.0,15.0,0.0,1.0,5.0,2024.0
4509758,Missouri,Georgia,"Krings, Laurin",4.0,0.0,0.0,0.0,0.0,4.0,14.0,0.0,4.0,4.0,2024.0
4509758,Missouri,Georgia,"McCann, Marissa",2.0,3.0,2.0,0.0,0.0,0.0,9.0,0.0,1.0,5.0,2024.0
4509758,Georgia,Missouri,"Backes, Lilli",7.0,8.0,2.0,2.0,1.0,3.0,33.0,2.0,5.0,13.0,2024.0
4509760,Bradley,Drake,"Kennedy, Sydney",3.0,4.0,0.0,0.0,0.0,2.0,13.0,0.0,3.0,4.0,2024.0
4509760,Bradley,Drake,"Badgley, Abbott",5.2,6.0,4.0,3.0,0.0,5.0,26.0,1.0,7.0,4.0,2024.0
4509760,Bradley,Drake,"Schaller, Camryn",0.1,3.0,2.0,1.0,0.0,0.0,6.0,0.0,0.0,1.0,2024.0
4509760,Drake,Bradley,"Dighton, Emma",1.1,7.0,4.0,0.0,0.0,0.0,13.0,0.0,3.0,1.0,2024.0
4509760,Drake,Bradley,"Scheck, Jayme",7.2,4.0,1.0,2.0,0.0,2.0,30.0,0.0,9.0,11.0,2024.0
4509761,Texas,Kansas,"Czech, Estelle",2.2,1.0,0.0,2.0,1.0,1.0,12.0,0.0,3.0,4.0,2024.0
4509761,Texas,Kansas,"Morgan, Mac",4.1,4.0,2.0,1.0,0.0,3.0,18.0,1.0,8.0,2.0,2024.0
4509761,Kansas,Texas,"DesRochers, Savanna",2.2,1.0,2.0,3.0,0.0,3.0,13.0,1.0,4.0,1.0,2024.0
4509761,Kansas,Texas,"Hamilton, Kasey",4.1,6.0,8.0,2.0,0.0,2.0,22.0,3.0,4.0,8.0,2024.0
4509762,Villanova,DePaul,"Pellicano, Caroline",3.0,3.0,0.0,0.0,0.0,1.0,12.0,0.0,6.0,1.0,2024.0
4509762,Villanova,DePaul,"Gallant, Kat",4.0,3.0,2.0,2.0,0.0,4.0,18.0,0.0,1.0,7.0,2024.0
4509762,DePaul,Villanova,"Smith, Brenna",6.0,6.0,4.0,3.0,0.0,3.0,28.0,0.0,6.0,9.0,2024.0
4509762,DePaul,Villanova,"Pochie, Abbey",1.0,3.0,3.0,2.0,1.0,0.0,8.0,2.0,1.0,1.0,2024.0
4509763,Syracuse,Pittsburgh,"Hendrix, Lindsey",7.0,5.0,3.0,5.0,1.0,2.0,31.0,1.0,10.0,8.0,2024.0
4509763,Pittsburgh,Syracuse,"Pittman, Kyra",1.0,6.0,4.0,1.0,0.0,0.0,9.0,0.0,0.0,2.0,2024.0
4509763,Pittsburgh,Syracuse,"Romano, Adriana",5.0,7.0,4.0,1.0,0.0,1.0,23.0,2.0,7.0,7.0,2024.0
4509763,Pittsburgh,Syracuse,"Stefanoni, Olivia",1.0,3.0,4.0,1.0,0.0,0.0,7.0,1.0,0.0,3.0,2024.0
4509764,Washington,California,"Nelson, Brooke",0.2,1.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,2024.0
4509764,Washington,California,"Peters, Sidne",4.1,4.0,1.0,5.0,0.0,4.0,21.0,1.0,3.0,5.0,2024.0
4509764,Washington,California,"Lopez, Lindsay",2.0,4.0,2.0,3.0,0.0,1.0,13.0,0.0,2.0,3.0,2024.0
4509764,California,Washington,"Roelling, Randi",4.0,5.0,4.0,1.0,0.0,4.0,18.0,3.0,6.0,3.0,2024.0
4509764,California,Washington,"Orange, Ryann",1.0,1.0,0.0,0.0,0.0,1.0,4.0,0.0,2.0,0.0,2024.0
4509764,California,Washington,"Archer, Haylei",2.0,4.0,5.0,4.0,0.0,3.0,14.0,1.0,2.0,1.0,2024.0
4509765,UCF,Baylor,"Cochran, Katelyn",3.1,3.0,0.0,2.0,1.0,0.0,16.0,0.0,1.0,8.0,2024.0
4509765,UCF,Baylor,"DeVoe, Angelina",1.1,1.0,0.0,0.0,1.0,1.0,6.0,0.0,1.0,2.0,2024.0
4509765,UCF,Baylor,"Felton, Kaitlyn",1.1,3.0,1.0,3.0,0.0,0.0,10.0,0.0,2.0,2.0,2024.0
4509765,Baylor,UCF,"Crandall, RyLee",7.0,5.0,0.0,2.0,2.0,4.0,30.0,0.0,6.0,10.0,2024.0
4509766,Georgia Tech,Virginia Tech,"Studebaker, Jaidyn",2.0,4.0,4.0,1.0,0.0,2.0,10.0,2.0,3.0,0.0,2024.0
4509766,Georgia Tech,Virginia Tech,"Neleman, Blake",2.0,0.0,0.0,2.0,0.0,2.0,8.0,0.0,3.0,1.0,2024.0
4509766,Georgia Tech,Virginia Tech,"Voyles, Sophia",2.0,3.0,6.0,5.0,0.0,4.0,14.0,1.0,1.0,1.0,2024.0
4509766,Virginia Tech,Georgia Tech,"Lemley, Emma",3.1,2.0,1.0,2.0,1.0,3.0,14.0,1.0,4.0,2.0,2024.0
4509766,Virginia Tech,Georgia Tech,"Grizzard, Cassie",3.2,2.0,2.0,4.0,0.0,1.0,19.0,0.0,6.0,4.0,2024.0
4509768,Clemson,Notre Dame,"Cagle, Valerie",7.0,8.0,4.0,1.0,2.0,6.0,30.0,1.0,8.0,4.0,2024.0
